Symbol,Word_Embedding_Dim1,Word_Embedding_Dim2,Word_Embedding_Dim3,Word_Embedding_Dim4,Word_Embedding_Dim5,Basic Materials,Consumer Discretionary,Consumer Staples,Energy,Finance,Health Care,Industrials,Miscellaneous,Real Estate,Technology,Telecommunications,Utilities
ACR,0.06803725,0.12614648,-0.024385978,0.15274107,0.09367802,0,0,0,0,0,0,0,0,1,0,0,0
ACRE,-0.16767415,-0.13875985,0.06431558,-0.06748929,-0.10362277,0,0,0,0,0,0,0,0,1,0,0,0
ACRS,0.029622197,0.19482008,0.07372232,0.01534431,-0.17566808,0,0,0,0,0,1,0,0,0,0,0,0
ACRV,0.09820561,0.1533381,-0.16494592,-0.10237491,-0.031335354,0,0,0,0,0,1,0,0,0,0,0,0
ACST,-0.18104632,-0.006628347,-0.19008887,-0.18456788,-0.027989388,0,0,0,0,0,1,0,0,0,0,0,0
ACT,0.19635081,-0.030565882,-0.0866216,-0.08023541,0.037041403,0,0,0,0,1,0,0,0,0,0,0,0
ACTG,-0.16309695,0.115130566,0.017017627,-0.104914546,0.100780204,0,0,0,0,0,0,0,1,0,0,0,0
ACU,0.0743083,-0.18443568,-0.10507925,0.0401093,0.049414493,0,1,0,0,0,0,0,0,0,0,0,0
ACV,0.18091436,0.042374182,0.04605422,-0.05985737,-0.047435928,0,0,0,0,1,0,0,0,0,0,0,0
ACVA,0.10443964,-0.16217788,0.037846614,-0.060794808,-0.051881146,0,0,0,0,0,0,1,0,0,0,0,0
ACXP,-0.029715013,0.09106529,-0.005181813,-0.16377148,-0.12621137,0,0,0,0,0,1,0,0,0,0,0,0
ADBE,-0.17532268,0.09514286,-0.19945996,-0.13159862,0.19625314,0,0,0,0,0,0,0,0,0,1,0,0
ADC,0.02860632,-0.080816366,-0.0887351,0.15091164,-0.17866616,0,0,0,0,0,0,0,0,1,0,0,0
ADEA,0.113664605,0.15132587,-0.050693512,-0.07118638,0.17007771,0,0,0,0,0,0,0,0,0,1,0,0
ADI,0.15324812,-0.056026936,0.13809678,0.04432981,0.09570046,0,0,0,0,0,0,0,0,0,1,0,0
ADIL,0.15984246,0.120285176,0.19690666,-0.043821406,-0.15435763,0,0,0,0,0,1,0,0,0,0,0,0
ADMA,-0.03932049,0.03582282,0.08899112,-0.040462065,0.16605535,0,0,0,0,0,1,0,0,0,0,0,0
ADN,-0.18183438,0.10629563,0.050296593,0.11680929,0.050562643,0,0,0,0,0,0,0,0,0,0,0,1
ADP,0.14238498,0.011749434,0.044009782,-0.05232353,-0.14834547,0,1,0,0,0,0,0,0,0,0,0,0
ADPT,-0.082383946,0.035307407,0.19706543,-0.19900885,0.18275043,0,0,0,0,0,1,0,0,0,0,0,0
ADSK,0.0984534,0.11642294,-0.116541885,0.046973847,-0.000650191,0,0,0,0,0,0,0,0,0,1,0,0
ADT,-0.12037029,0.09989174,-0.11253083,0.0705575,-0.0777688,0,1,0,0,0,0,0,0,0,0,0,0
ADTH,0.13532941,0.16153815,0.025192881,0.018909931,0.07999239,0,1,0,0,0,0,0,0,0,0,0,0
ADTN,-0.086566284,-0.023140598,-0.06397538,0.082096,-0.16752417,0,0,0,0,0,0,0,0,0,0,1,0
ADTX,0.1636204,-0.13078341,0.1728441,-0.082359985,0.025718475,0,0,0,0,0,1,0,0,0,0,0,0
ADUS,0.07559812,-0.027065849,0.122664526,0.13068596,-0.02836864,0,0,0,0,0,1,0,0,0,0,0,0
ADV,0.02093308,-0.012750005,-0.03619907,-0.04998181,0.021068621,0,1,0,0,0,0,0,0,0,0,0,0
ADVM,0.12631968,-0.024315143,0.001314044,-0.021149803,0.11741624,0,0,0,0,0,1,0,0,0,0,0,0
ADX,-0.07949753,-0.006725573,-0.07585497,0.11754544,0.18670556,0,0,0,0,1,0,0,0,0,0,0,0
AE,-0.1632169,0.11720832,-0.17180327,0.047885824,-0.04428661,0,0,0,1,0,0,0,0,0,0,0,0
AEAE,-0.1973137,-0.045409203,-0.0847203,0.09235184,0.10052951,0,0,0,0,0,0,1,0,0,0,0,0
AEAEU,-0.09700112,-0.019541716,-0.011474824,0.11582327,-0.060506415,0,0,0,0,0,0,1,0,0,0,0,0
AEE,0.16092126,-0.18768235,-0.19182281,-0.1684411,0.116738915,0,0,0,0,0,0,0,0,0,0,0,1
AEF,0.053741384,0.112913564,-0.08176601,0.17502609,-0.12043412,0,0,0,0,1,0,0,0,0,0,0,0
AEHR,-0.19960304,-0.18797906,-0.1859637,-0.13640933,0.19634633,0,0,0,0,0,0,1,0,0,0,0,0
AEI,0.11471467,0.08629389,-0.17707881,-0.17410564,0.14011347,0,0,0,0,0,0,0,0,1,0,0,0
AEIS,-0.08666768,0.14430706,-0.000298953,-0.06309237,-0.09057586,0,1,0,0,0,0,0,0,0,0,0,0
AEMD,0.06360161,-0.15610924,-0.038954806,-0.061657526,-0.13832366,0,0,0,0,0,0,0,1,0,0,0,0
AEO,-0.05887103,0.011464953,0.07102525,-0.16545615,0.1489592,0,1,0,0,0,0,0,0,0,0,0,0
AEP,0.15138885,0.07679091,0.16971588,-0.028821612,0.12864526,0,0,0,0,0,0,0,0,0,0,0,1
AES,0.09090688,0.02501123,-0.12819794,0.023039436,0.16053979,0,0,0,0,0,0,0,0,0,0,0,1
AEYE,0.04694135,-0.10716782,-0.025979161,0.048012614,-0.17438185,0,0,0,0,0,0,0,0,0,1,0,0
AEZS,0.19384293,-0.02077334,-0.10083933,0.09900308,-0.16962066,0,0,0,0,0,1,0,0,0,0,0,0
AFB,-0.071064495,-0.023798252,-0.19716588,0.037889026,0.038495757,0,0,0,0,1,0,0,0,0,0,0,0
AFBI,-0.07377467,-0.09438653,0.10464194,-0.12485659,-0.18117318,0,0,0,0,1,0,0,0,0,0,0,0
AFCG,-0.18382724,0.15270145,-0.05425539,-0.1592671,0.15158753,0,0,0,0,0,0,0,0,1,0,0,0
AFG,-0.14055082,-0.0653317,-0.19172502,0.071629666,0.079720356,0,0,0,0,1,0,0,0,0,0,0,0
AFGB,0.10261877,-0.09478252,-0.06875968,0.17524794,0.1286563,0,0,0,0,1,0,0,0,0,0,0,0
AFGC,-0.18513724,0.07675185,0.12509592,0.023696875,0.05596278,0,0,0,0,1,0,0,0,0,0,0,0
AFGD,0.028590465,0.1265428,-0.10755651,0.08682277,0.0992208,0,0,0,0,1,0,0,0,0,0,0,0
AFGE,0.10331981,-0.06399999,-0.043183018,-0.033515118,0.14168099,0,0,0,0,1,0,0,0,0,0,0,0
AFIB,0.16018,-0.03438897,0.18799086,0.028203655,-0.045976877,0,0,0,0,0,1,0,0,0,0,0,0
AFL,0.15435545,-0.021282077,-0.10990088,-0.14524038,-0.06799028,0,0,0,0,1,0,0,0,0,0,0,0
AFRM,-0.09732966,0.09137354,0.098112464,-0.13798542,-0.17051518,0,0,0,0,0,0,0,0,0,1,0,0
AFYA,0.039247703,-0.045193173,-0.14383607,0.1280419,-0.031106686,0,0,0,0,0,0,0,0,1,0,0,0
AGAE,-0.07717924,0.15561207,-0.021706939,-0.08722594,-0.071072124,0,0,0,0,0,0,0,0,0,0,1,0
AGCO,-0.12803975,0.104779266,0.19954899,-0.14381996,-0.10675385,0,0,0,0,0,0,1,0,0,0,0,0
AGD,-0.006836867,0.026204491,0.13488062,-0.11021314,-0.07729037,0,0,0,0,1,0,0,0,0,0,0,0
AGEN,-0.07157512,0.124876216,0.114299394,0.14429334,-0.1935997,0,0,0,0,0,1,0,0,0,0,0,0
AGFY,0.16180253,0.15531144,-0.12622163,-0.082675315,0.18933947,0,1,0,0,0,0,0,0,0,0,0,0
AGIO,0.00874567,0.08442774,0.041674994,0.001573181,-0.16966335,0,0,0,0,0,1,0,0,0,0,0,0
AGM,0.17033687,0.004593062,0.049076535,-0.028761888,0.00572772,0,0,0,0,1,0,0,0,0,0,0,0
AGNC,-0.18418126,0.11964297,0.1757046,-0.000688338,0.01441288,0,0,0,0,0,0,0,0,1,0,0,0
AGNCL,-0.062385153,-0.14091294,0.00769043,-0.08785057,-0.08301294,0,0,0,0,0,0,0,0,1,0,0,0
AGNCM,-0.016193915,0.14547281,0.05870042,0.02127943,-0.08739407,0,0,0,0,0,0,0,0,1,0,0,0
AGNCN,0.19905917,-0.13548303,-0.15422189,-0.10227668,0.140786,0,0,0,0,0,0,0,0,1,0,0,0
AGNCO,0.061317325,-0.011619163,-0.031286955,-0.007967973,0.1899499,0,0,0,0,0,0,0,0,1,0,0,0
AGNCP,-0.06343405,0.15551817,0.09301658,0.017639231,0.016181517,0,0,0,0,0,0,0,0,1,0,0,0
AGR,-0.19974308,0.044430375,0.057949234,0.18735299,0.087270305,0,0,0,0,0,0,0,0,0,0,0,1
AGRX,0.036870766,0.12484503,-0.13822214,-0.107658125,-0.07856695,0,0,0,0,0,1,0,0,0,0,0,0
AGS,-0.08073063,0.11812937,0.04308615,-0.10868132,0.084977224,0,1,0,0,0,0,0,0,0,0,0,0
AGX,-0.010609841,-0.1985468,-0.13424852,0.051087953,0.08205037,0,0,0,0,0,0,1,0,0,0,0,0
AGYS,-0.006111598,-0.18051104,0.19154927,-0.19340351,-0.18956558,0,0,0,0,0,0,0,0,0,1,0,0
AHCO,-0.1385887,-0.04865129,0.13504691,0.18696766,-0.006246305,0,0,0,0,0,1,0,0,0,0,0,0
AHH,0.19653729,-0.027069902,0.07164435,-0.1565654,0.17294404,0,0,0,0,0,0,0,0,1,0,0,0
