Date,Price
2023/10/18 00:00,13314.3
2023/10/17 00:00,13533.75
2023/10/16 00:00,13567.98
2023/10/13 00:00,13407.23
2023/10/12 00:00,13574.22
2023/10/11 00:00,13659.68
2023/10/10 00:00,13562.84
2023/10/9 00:00,13484.24
2023/10/6 00:00,13431.34
2023/10/5 00:00,13219.83
2023/10/4 00:00,13236.01
2023/10/3 00:00,13059.47
2023/10/2 00:00,13307.77
2023/9/29 00:00,13219.32
2023/9/28 00:00,13201.28
2023/9/27 00:00,13092.85
2023/9/26 00:00,13063.61
2023/9/25 00:00,13271.32
2023/9/22 00:00,13211.81
2023/9/21 00:00,13223.99
2023/9/20 00:00,13469.13
2023/9/19 00:00,13678.19
2023/9/18 00:00,13710.24
2023/9/15 00:00,13708.33
2023/9/14 00:00,13926.05
2023/9/13 00:00,13813.58
2023/9/12 00:00,13773.62
2023/9/11 00:00,13917.89
2023/9/8 00:00,13761.53
2023/9/7 00:00,13748.83
2023/9/6 00:00,13872.47
2023/9/5 00:00,14020.95
2023/9/1 00:00,14031.82
2023/8/31 00:00,14034.97
2023/8/30 00:00,14019.31
2023/8/29 00:00,13943.76
2023/8/28 00:00,13705.13
2023/8/25 00:00,13590.65
2023/8/24 00:00,13463.97
2023/8/23 00:00,13721.03
2023/8/22 00:00,13505.87
2023/8/21 00:00,13497.59
2023/8/18 00:00,13290.78
2023/8/17 00:00,13316.93
2023/8/16 00:00,13474.63
2023/8/15 00:00,13631.05
2023/8/14 00:00,13788.33
2023/8/11 00:00,13644.85
2023/8/10 00:00,13721.03
2023/8/9 00:00,13705.08
2023/8/8 00:00,13867.19
2023/8/7 00:00,13977.13
2023/8/4 00:00,13892.07
2023/8/3 00:00,13959.71
2023/8/2 00:00,13973.45
2023/8/1 00:00,14283.91
2023/7/31 00:00,14346.02
2023/7/28 00:00,14316.66
2023/7/27 00:00,14050.11
2023/7/26 00:00,14127.28
2023/7/25 00:00,14144.55
2023/7/24 00:00,14058.87
2023/7/21 00:00,14032.8
2023/7/20 00:00,14063.31
2023/7/19 00:00,14358.02
2023/7/18 00:00,14353.64
2023/7/17 00:00,14244.95
2023/7/14 00:00,14113.7
2023/7/13 00:00,14138.57
2023/7/12 00:00,13918.96
2023/7/11 00:00,13760.7
2023/7/10 00:00,13685.48
2023/7/7 00:00,13660.72
2023/7/6 00:00,13679.04
2023/7/5 00:00,13791.65
2023/7/3 00:00,13816.77
2023/6/30 00:00,13787.92
2023/6/29 00:00,13591.33
2023/6/28 00:00,13591.75
2023/6/27 00:00,13555.67
2023/6/26 00:00,13335.78
2023/6/23 00:00,13492.52
2023/6/22 00:00,13630.61
2023/6/21 00:00,13502.2
2023/6/20 00:00,13667.29
2023/6/16 00:00,13689.57
2023/6/15 00:00,13782.82
2023/6/14 00:00,13626.48
2023/6/13 00:00,13573.32
2023/6/12 00:00,13461.92
2023/6/9 00:00,13259.14
2023/6/8 00:00,13238.52
2023/6/7 00:00,13104.89
2023/6/6 00:00,13276.42
2023/6/5 00:00,13229.43
2023/6/2 00:00,13240.77
2023/6/1 00:00,13100.98
2023/5/31 00:00,12935.29
2023/5/30 00:00,13017.43
2023/5/26 00:00,12975.69
2023/5/25 00:00,12698.09
2023/5/24 00:00,12484.16
2023/5/23 00:00,12560.25
2023/5/22 00:00,12720.78
2023/5/19 00:00,12657.9
2023/5/18 00:00,12688.84
2023/5/17 00:00,12500.57
2023/5/16 00:00,12343.05
2023/5/15 00:00,12365.21
2023/5/12 00:00,12284.74
2023/5/11 00:00,12328.51
2023/5/10 00:00,12306.44
2023/5/9 00:00,12179.55
2023/5/8 00:00,12256.92
2023/5/5 00:00,12235.41
2023/5/4 00:00,11966.4
2023/5/3 00:00,12025.33
2023/5/2 00:00,12080.51
2023/5/1 00:00,12212.6
2023/4/28 00:00,12226.58
2023/4/27 00:00,12142.24
2023/4/26 00:00,11854.35
2023/4/25 00:00,11799.16
2023/4/24 00:00,12037.2
2023/4/21 00:00,12072.46
2023/4/20 00:00,12059.56
2023/4/19 00:00,12157.23
2023/4/18 00:00,12153.41
2023/4/17 00:00,12157.72
2023/4/14 00:00,12123.46
2023/4/13 00:00,12166.27
2023/4/12 00:00,11929.34
2023/4/11 00:00,12031.88
2023/4/10 00:00,12084.36
2023/4/6 00:00,12087.96
2023/4/5 00:00,11996.86
2023/4/4 00:00,12126.33
2023/4/3 00:00,12189.45
2023/3/31 00:00,12221.91
2023/3/30 00:00,12013.47
2023/3/29 00:00,11926.24
2023/3/28 00:00,11716.08
2023/3/27 00:00,11768.84
2023/3/24 00:00,11823.96
2023/3/23 00:00,11787.4
2023/3/22 00:00,11669.96
2023/3/21 00:00,11860.11
2023/3/20 00:00,11675.54
2023/3/17 00:00,11630.51
2023/3/16 00:00,11717.28
