,Adj Close,NASDAQ,Dow_Jones,S&P_500,SOX,USD_index,VIX,WTI,BADI,Symbol,type
333,1.0,0.516442911765214,0.7239070935025088,0.7169509635761884,0.6752507822159242,0.6274340354105172,-0.5344281527924606,0.687363095692355,0.019417655740604462,ON,tech
334,1.0,-0.3791120058142675,-0.5435260236500571,-0.40849036906951397,-0.32429552229791825,-0.1823966679767971,0.054436907720704676,-0.16433836383178865,-0.6256978310674043,ONFO,tech
335,1.0,0.7060199914510503,0.8371566528110478,0.8800626926777906,0.9218410780767852,0.48294958064026094,-0.659188374709431,0.33796164407990004,-0.055156356552300945,ONTO,tech
336,1.0,0.7567125920191691,0.8465992963174637,0.8751339693018455,0.881292462133218,0.42252941323104914,-0.6628429857278377,0.514021166225234,0.19922913595686595,ORCL,tech
337,1.0,0.7113077050253934,0.7620258828777063,0.7791006606934076,0.8345535385997586,0.2733935181137069,-0.7166314130121472,0.31027701466549684,0.0835409779131962,OSIS,tech
338,1.0,-0.11154308949968757,-0.3569499938174119,-0.37476874405733124,-0.3432352220152326,-0.855157611607719,0.0919295318107846,-0.5475815646595265,0.1754814168794215,OSPN,tech
339,1.0,0.411418588361004,0.3214371631911028,0.279786751129277,0.19342842531972274,-0.46061871962682194,-0.1729930294814909,0.29632807923779136,0.6147122792950668,OSS,tech
340,1.0,-0.19042180149877846,-0.46616841821275257,-0.46090912653635613,-0.38615398042130133,-0.7452013550611796,0.2063199354900951,-0.6377311565776399,-0.05518248817760383,OTRK,tech
341,1.0,0.28287010907637455,0.014129210044420505,0.00785856525720479,-0.10375035606771271,-0.8735844044766554,0.07607679315198314,-0.18840598268819198,0.7121942976344549,OTRKP,tech
342,1.0,0.31211896825903024,0.043366442492114646,0.06043411146458577,-0.06612205980233485,-0.8198392559403878,0.08551239335034011,-0.1288863611180766,0.7556983489153027,OUST,tech
343,1.0,0.6909341793420593,0.6362659889708419,0.6508016298918521,0.6140798433299197,-0.10566625068772117,-0.39760899959370455,0.3636178958820428,0.6662595197056534,PALT,tech
344,1.0,0.705110554340402,0.8159216468172323,0.8506879312245301,0.8610884429321054,0.5575000257543508,-0.581212738113472,0.5968417009750838,0.1316374609080963,PANW,tech
345,1.0,0.6085749337975819,0.39471636568272267,0.38055460647264144,0.36814900950420804,-0.6335095263465796,-0.3818501041007114,0.06533022499675652,0.5919889056630622,PAR,tech
346,1.0,0.1961814407194783,-0.013551243440256417,-0.02438996908749657,-0.11757686292516911,-0.5008240746425694,-0.07427833688033954,-0.40350965933687244,0.5685894623434629,PAYO,tech
347,1.0,-0.5243984664301471,-0.6331307932348391,-0.6302953328047999,-0.5310061617116713,-0.34864283796078976,0.2254806515813281,-0.7594037652432889,-0.43421212416957905,PAYS,tech
348,1.0,0.45152825599580626,0.45585600227267603,0.4303365945356457,0.2797812976072828,-0.01618033008460275,-0.3097182626856502,0.4935392136782273,0.5358213321602998,PCTY,tech
349,1.0,0.4680173620097292,0.6237750712012394,0.6340677405802336,0.6364193174695262,0.4962701145069495,-0.5403116221414918,0.46464027684592835,-0.10189766147940532,PDFS,tech
350,1.0,0.13788821591702655,-0.1924050622265863,-0.17410400899776463,-0.15174289077716047,-0.9404202785685504,0.060262432653604335,-0.47016510753616886,0.3910801161743305,PEGA,tech
351,1.0,-0.13505200186330152,-0.3732668688860282,-0.38650320268259203,-0.40935458829469457,-0.8251151083901405,0.21690456258854884,-0.47887461540387727,0.35856864082711826,PEGY,tech
352,1.0,-0.38697473123371884,-0.4636048777801385,-0.41273154377164084,-0.4234179323226552,0.26753868096250605,0.5534356858539055,0.7646279868818493,0.20204391477891137,PET,tech
353,1.0,0.5502273080480934,0.712214766556043,0.7322874051470388,0.7587919262486288,0.6006834944318341,-0.5227495744818869,0.5295309059142964,-0.05627694118188558,PLAB,tech
354,1.0,0.7657388241842454,0.8537952737913659,0.87487588579227,0.8906802973418881,0.4049927488209413,-0.6351248565432167,0.5722452695149957,0.23746189611665264,PLUS,tech
355,1.0,0.6267884942362182,0.8320148871161653,0.7654225986255186,0.6999486941728603,0.36418966795527186,-0.7179340183508828,0.5802209990423522,0.24630268371674177,PLXS,tech
356,1.0,0.46473930929749896,0.6721129956307482,0.6474009808503224,0.5612836983977503,0.46341975473842123,-0.43866383271203474,0.7024804492566269,0.17145943172759348,POCI,tech
357,1.0,0.18313167435047684,0.013229210930253404,-0.007172553664997505,-0.08433712051102442,-0.6736846191308311,0.02946781050309956,0.07076939991519762,0.5373905227875451,POET,tech
358,1.0,0.706661458150716,0.6899342357473921,0.6774472273095243,0.5949192941718906,-0.11170825332243883,-0.4946279833248967,0.5684508030467864,0.595003518690826,POWI,tech
359,1.0,0.3181056335083356,-0.08553536486491758,-0.07748606338999992,-0.08585019746721127,-0.8658194672116142,0.07668975290531034,-0.41631031622611836,0.5859545485068336,PRCH,tech
360,1.0,0.5453632969889839,0.5682546556654539,0.5692168649805586,0.42913255145032664,-0.011384244795731717,-0.2814789744823112,0.6556817417653783,0.650764872178047,PRFT,tech
361,1.0,0.51909417430246,0.7498842537605754,0.7084335916181689,0.6640858565331736,0.5248992686273697,-0.6607186126710842,0.6018457170891763,0.04256949212191966,PRGS,tech
362,1.0,0.04571786977748786,-0.11216003280848742,-0.1412213867367259,-0.10409894414601137,-0.6382294781154408,-0.22458820719331693,-0.4022447926379607,0.07130925979697794,PRO,tech
363,1.0,0.17674191569143152,-0.005618754358608762,-0.029151702341598296,-0.11678222575044876,-0.6631227719111478,0.023411450530233326,-0.04097030081245052,0.6152346855372722,PRSO,tech
364,1.0,-0.16550865909326132,-0.3900355949121188,-0.29037758687305204,-0.38047844651286616,-0.45391557531342547,0.5791903387050021,0.5920643320999717,0.41853981757302616,PRST,tech
365,1.0,0.4502812359855007,0.389720804094979,0.33392919064173326,0.25957509465419487,-0.4380678009353885,-0.21611813078962125,0.3182169095980926,0.5275164354968858,PRTH,tech
366,1.0,-0.6118361553528665,-0.6980999321315297,-0.6554545509480914,-0.6796402148624683,0.41511522163583964,0.45394827606800797,0.2071924517678702,-0.19346919492626644,PRVA,tech
367,1.0,0.8289812980796095,0.8967924948074959,0.8873567237560616,0.9041961349437864,0.24756084978248294,-0.7169807150219903,0.4812011075815059,0.26710628434441347,PTC,tech
